text,class
@Gongzzilla @GameStop @amazon Might take until Tuesday to download though! https://t.co/ySNz7hmBaI,Neutral
<U+300C><U+3084><U+308A><U+305F><U+3044><U+4ED5><U+4E8B><U+304C><U+3042><U+308B>!<U+2015><U+597D><U+304D><U+306A><U+4ED5><U+4E8B>·<U+5411><U+3044><U+3066><U+3044><U+308B><U+4ED5><U+4E8B>741<U+8077><U+300D> <U+3092> 700 <U+3067>@amazon<U+304B><U+3089><U+51FA><U+54C1><U+3057><U+307E><U+3057><U+305F> https://t.co/kOrLGRNsZF,Neutral
@Gongzzilla @GameStop @amazon Downloads all the way my friend,Neutral
The Wizards Return by Michael Walsh https://t.co/I0oNZ9ccv6 via @amazon,Neutral
Deal of the day: Samsung Galaxy S9+ Unlocked Smartphone - Lilac Purple by Samsung Unlocked Devices… https://t.co/0TkgY9fcaL,Neutral
@AmazonHelp @amazon @amazonIN No clue after 4 days of lodging complaint at customer care. Organized Dacoity by amaz… https://t.co/II3Gp5kZbI,negative
Info particulièrement intéressante #USA #Financement #Trump #campagne @WithHonorFund @amazon #democratie #acheter https://t.co/Ccp8IvyVsg,positive
"RT @FauphTalk: Now available...
Check out the (not quite) highly and (un)anticipated re-release of the novel that once outsold #HarryPotter…",Neutral
@amazon #alexa#fail. I've just asked Alexa who the Arsenal manager was. The answer was Arsene Wenger since 1996? No… https://t.co/f2FOY0VaAF,Neutral
RT @udochiokeke1: Programming @amazon Alexa to pronounce Igbo names using the International Phonetic Alphabet (IPA). I think she is getting…,Neutral
RT @ZakkWyldeBLS: THE RAWTOP TIGER BLOOD EAGLE • tBLSt SDMF “GRIMMEST HITS” @Spotify @iTunes @AppleMusic @amazon @WyldeAudio @DeathWishCoff…,Neutral
RT @Suzy_Henderson: THE BEAUTY SHOP by Suzy Henderson #Free on #Kindle today only. https://t.co/4YeL8cSC2Z via @amazon #HistoricalFiction #…,positive
"RT @TheMysteryLadie: \Fast-paced thriller that solidifies Carr's standing as a major force in American fiction.\"" #Mystery &amp; #suspense will…""",negative
"RT @persimew: #IAN1 #IARTG #BYNR #horror #gothic  https://t.co/PN2W3HJHTW #free with #kindleunlimited Angelica leaned over his wife, silk c…",positive
"RT @bunkenandrock: <U+300C><U+30A6><U+30A3><U+30EA><U+30A2><U+30E0>·<U+30AE><U+30D6><U+30B9><U+30F3> (<U+73FE><U+4EE3><U+4F5C><U+5BB6><U+30AC><U+30A4><U+30C9>)<U+300D> <U+3092> 1,000 <U+3067>@amazon<U+304B><U+3089><U+51FA><U+54C1><U+3057><U+307E><U+3057><U+305F> https://t.co/gkVWq25sIO #<U+30A6><U+30A3><U+30EA><U+30A2><U+30E0>·<U+30AE><U+30D6><U+30B9><U+30F3> #<U+30B5><U+30A4><U+30D0><U+30FC><U+30D1><U+30F3><U+30AF>",Neutral
Patriotism Heart USA T-Shirt Patriotism Heart USA Shirt https://t.co/Odo3rncrLr via @amazon,Neutral
RT @EdenTrainingUK: We are so happy with our new website we are running a #competition! For a chance to win a £50 @amazon voucher / @Love2s…,positive
RT @ReviewsEmerald: Magical Bedtime Stories: A Collection of Short Stories &amp; Poems for Children b... https://t.co/3xyhFdoXeA via @amazon,positive
"RT @slpng_giants: Hell, @amazon might stop advertising on Breitbart before this game is over.",negative
"RT @kmproducts2017: GEOMETRIC SPACE GRAPHIC T-SHIRT KnM
#womensfashion #womensclothing
#geometric #Space #fashion #Amazon https://t.co/JQYk…",Neutral
"<U+300C><U+30A6><U+30A3><U+30EA><U+30A2><U+30E0>·<U+30AE><U+30D6><U+30B9><U+30F3> (<U+73FE><U+4EE3><U+4F5C><U+5BB6><U+30AC><U+30A4><U+30C9>)<U+300D> <U+3092> 1,000 <U+3067>@amazon<U+304B><U+3089><U+51FA><U+54C1><U+3057><U+307E><U+3057><U+305F> https://t.co/gkVWq25sIO #<U+30A6><U+30A3><U+30EA><U+30A2><U+30E0>·<U+30AE><U+30D6><U+30B9><U+30F3> #<U+30B5><U+30A4><U+30D0><U+30FC><U+30D1><U+30F3><U+30AF>",Neutral
RT @Suzy_Henderson: THE BEAUTY SHOP by Suzy Henderson #Free on #Kindle today only. https://t.co/4YeL8cSC2Z via @amazon #HistoricalFiction #…,positive
King Of The Slums<U+300C>Dandelions<U+300D> <U+3092> ¥800 <U+3067>@amazon<U+304B><U+3089><U+51FA><U+54C1><U+3057><U+307E><U+3057><U+305F> https://t.co/Y75BwuHoPa,Neutral
Tu refugio (Nueva versión) pablo Alborán WM Spain https://t.co/WFmZfOaBrO vía @amazon,Neutral
"RT @KZ_Howell: Messages passed down through the centuries in legend and stone.
Technology left behind by ancient visitors. 
The line betwee…",Neutral
RT @retailpractice: #TBT Throw back TUESDAY! - I couldn’t wait ‘till Thursday. @Amazon founder Jeff Bezos in his start-up office 1999. @eva…,negative
"Le plus gros contributeur de cette campagne est le patron de @amazon, @JeffBezos, qui a investi $10,159,970 à lui t… https://t.co/p2viATCBg3",Neutral
RT @EdenTrainingUK: We are so happy with our new website we are running a #competition! For a chance to win a £50 @amazon voucher / @Love2s…,positive
Sci-Fi and Fantasy Movie Poster Art - Trading Cards – NEW! ON SALE NOW: https://t.co/IHqP1zq5Ls via @amazon #SciFi #MoviePosters,Neutral
"@amazonIN For those who have extra money and dont need it anymore, please shop from @Amazon pay for the things ad f… https://t.co/1GqFwe3ZFC",Neutral
"RT @ETMarkets: A disappointing quarterly report from @amazon wiped $65 billion off the online retailer's m-cap!
https://t.co/MI5PjOQZ0z",negative
@flipkartsupport @FlipkartSellers @Flipkart @flipkartsupport U proved that u r a fraud company who DOES A FAKE SIGN… https://t.co/6FfL0Xm1Ps,negative
"RT @KZ_Howell: Messages passed down through the centuries in legend and stone.
Technology left behind by ancient visitors. 
The line betwee…",Neutral
Hey @amazon can you deliver these items in time for today’s #saintsfc vs #nufc game? https://t.co/Ik8r9dbQko,Neutral
"#free Bewitching (Regency Magic Book 1) by Jill Barnett
https://t.co/AjUk97ne1L przez @amazon",positive
"Pop Up #Hamper #Storage Extra Large for Toys, #Laundry, Diapers Hamper #Bag with ... https://t.co/pO4XCdQo43 <U+05D3><U+05E8><U+05DA> @amazon",negative
<U+300C>brilliant<U+300D> <U+3092> 1200 <U+3067>@amazon<U+304B><U+3089><U+51FA><U+54C1><U+3057><U+307E><U+3057><U+305F> https://t.co/jVufmPv329,Neutral
"RT @persimew: #IAN1 #IARTG #BYNR #horror #gothic  https://t.co/PN2W3HJHTW #free with #kindleunlimited Angelica leaned over his wife, silk c…",positive
@Wanyal At least you’ll be able to find one. I “bought” an @intel i9 9900K from @amazon and they had the audacity t… https://t.co/egDbQuPhNP,negative
"RT @TheMysteryLadie: \Fast-paced thriller that solidifies Carr's standing as a major force in American fiction.\"" #Mystery &amp; #suspense will…""",negative
4.5 Inch #Professional Mini Long #Nose #Pliers Brink #Tools https://t.co/gWCFqA8dcU <U+05D3><U+05E8><U+05DA> @amazon,Neutral
RT @aroon_dani: RT @PremStatsnet: RT @aroon_dani: RT @myshop0: Just saw this on Amazon: #KATYPERRY #Royal… https://t.co/Z8gXivD0O4,Neutral
"@RaeesKiDuniya 
@amazonIN Time + X = Timex @amazonIN @amazon <U+0001F4E3> #GreatestFestiveSale https://t.co/b8zoATHMfr",Neutral
"#Gift #Collage #Picture Frames #White #HOME #Decor 3D of 3 Pic, Wal... https://t.co/WCRPoqqmKE <U+05D3><U+05E8><U+05DA> @amazon",Neutral
RT @reeses: What’s your favorite half – of a REESE’S? Tell us for a chance to win a $100 @Amazon Gift Card with #NotSorry and #Sweepstakes!…,positive
@xijingping @PutinRF @washingtonpost @uriminzok @nbc @DerSPIEGEL @lemondefr @CNN @MSNBC @realDonaldTrump @Twitter… https://t.co/vo08aUUVce,Neutral
@reeses @amazon I love the middle of a reese's #NotSorry #Sweepstakes,positive
<U+300C><U+30E6><U+30EA><U+30A4><U+30AB>1999<U+5E74>2<U+6708><U+81E8><U+6642><U+5897><U+520A><U+53F7> <U+7DCF><U+7279><U+96C6>=<U+767D><U+6D32><U+6B63><U+5B50><U+300D> <U+3092> 280 <U+3067>@amazon<U+304B><U+3089><U+51FA><U+54C1><U+3057><U+307E><U+3057><U+305F> https://t.co/Y0FFrr5nIv,Neutral
@AmazonHelp @amazonIN @amazon If ur investigation has been completed and You have Found out the reason and motive b… https://t.co/xly04Fy951,Neutral
"@DanielPriestley @amazon Agree it’s lazy and wasteful, mind you I save them to ship my products in but the size I u… https://t.co/gDPsZtcDTT",negative
Folding #Utility #Knives Box #Cutter Retractable Sharp #Blade Easy Blades Change ... https://t.co/PAudUXCMfz <U+05D3><U+05E8><U+05DA> @amazon,positive
RT @Cost2Build_UK: We're giving away a £20 @amazon gift card. All you have to do to enter is follow us &amp; RT this post. We’ll announce the w…,Neutral
RT @RichTVXChannel: #Breaking #RichTVX #Music #News: SWEDISH DJ SUPERSTAR @RealStoneBridge TOPS CHARTS WORLDWIDE #funky #beatz  ft @TheHale…,negative
@IFBAppliances Please do not depend upon @amazonIN @amazon for selling your appliances in Tier II cities. They are… https://t.co/ZsYnfHjK5M,Neutral
Online shopping from a great selection at Appliances Store. https://t.co/DguF5WqwO1 via @amazon,positive
"RT @ETMarkets: A disappointing quarterly report from @amazon wiped $65 billion off the online retailer's m-cap!
https://t.co/MI5PjOQZ0z",negative
"At #home, in the #kitchen, at #work, in the #office or in the #garden – Multi Uses
, 8-Inches 2 Pack Black...… https://t.co/xBXY1qat7C",positive
"FUNKO<U+306E><U+30D2><U+30FC><U+30DE><U+30F3><U+3063><U+307D><U+3044>DC<U+30AD><U+30E3><U+30E9><U+306E><U+30D5><U+30A3><U+30AE><U+30E5><U+30A2><U+30B7><U+30EA><U+30FC><U+30BA><U+3001><U+30C1><U+30FC><U+30D7><U+53EF><U+611B><U+304F><U+3066><U+30A4><U+30A4><U+306A>…
Funko: Primal Age https://t.co/JtNnPYyYkz @Amazon<U+3055><U+3093><U+304B><U+3089>",Neutral
"RT @amazonecho: Echo Show – everything you love about Alexa, and now she can show you things. #AskAlexa https://t.co/HtGY4bBG2y @Amazon htt…",positive
"RT @slpng_giants: Hell, @amazon might stop advertising on Breitbart before this game is over.",negative
RT @reeses: Where will you be enjoying your REESE’S product today? Tell us for a chance to win a $100 @Amazon Gift Card with #NotSorry and…,positive
"RT @reeses: What goes great with REESE’S? Winning a $1,000 @Amazon Gift Card! RT this with #NotSorry and #Sweepstakes for a chance to win.…",positive
"RT @reeses: What’s your plan for watching the games? 
A. REESE’S before halftime
B. REESE’S during halftime
C. REESE’S after halftime
RT yo…",Neutral
RT @reeses: Which REESE’S products are in your lineup today? Tell us for a chance to win a $100 @Amazon Gift Card with #NotSorry and #Sweep…,positive
I tried to order 2 of @shanedawson merch shirts from @amazon and I was sent ONE shirt and it’s not even a Shane Daw… https://t.co/wJYftIjuS6,Neutral
"RT @AmazonEnLucha: Dígale adiós al éxito de ventas de @Amazon
<U+0001F4CC> El gigante del comercio electrónico es conocido por el crecimiento masivo d…",Neutral
RT @RSiliquini: @carlofavaretti @andre_peralta @drsilenzi @Apple @amazon @Tesla @luca__pani @exoxi @toni_pastello @Nemomnis @Bakaburg1 @cam…,Neutral
"Dear @Harry_Styles,

Today, I ordered a chicken and an egg from @amazon. 

...I’ll let you know.

<U+0001F44B><U+0001F3FB><U+0001F609>

#TellHarryAJoke",Neutral
RT @KOKOROALMA: Vía @amazon Poemas DESDE EL ALMA en eBook @KOKOROALMA @Esveritate #poeta #poesia #ebook #podcaster #partneryoutube https://…,Neutral
RT @Esveritate: Poemas DESDE EL ALMA en eBooK  vía @amazon. @KOKOROALMA @Esveritate #partner #podcaster #escritor #DesdeElAlma https://t.co…,Neutral
"@JeffBezos @_Amit_Agarwal 
@amazon @AmazonHelp @amazonIN 
Order date 11-Oct-2018
Order # 406-7067451-8173911
Unable… https://t.co/HfgPdKrHT1",Neutral
RT @EdenTrainingUK: We are so happy with our new website we are running a #competition! For a chance to win a £50 @amazon voucher / @Love2s…,positive
"RT @slpng_giants: Hell, @amazon might stop advertising on Breitbart before this game is over.",negative
Totally unnecessary amount of packaging for a tiny lip balm @amazon @AmazonUK https://t.co/1KSxMzrAkw,negative
"RT @reeses: Who are you rooting for this weekend? 
A. REESE’S Peanut Butter Cups 
B. REESE’S PIECES Candies 
C. REESE’S OUTRAGEOUS! bar 
RT…",negative
18% OFF #sale #save #jewelrycleaner @amazon Famili FM8000WW Ultrasonic Polishing Jewelry Cleaner with Digital Timer… https://t.co/bhiDrKa4L9,positive
"RT @HarperImpulse: Leave your review for the much-loved The Little Book Cafe: Amy’s Story by @georgiawrites on @Amazon #Romance 
 Available…",Neutral
"39% OFF #sale #save #gamingchair #gaming @amazon Furmax Gaming Chair High Back Racing Chair, Ergonomic Swivel Compu… https://t.co/SdRoK2YatV",Neutral
@SanghviBharati @Homepunch <U+0938><U+093E><U+0930><U+0947> <U+092A><U+0930><U+093F><U+0935><U+093E><U+0930> <U+0915><U+093E> <U+0909><U+0926><U+094D><U+0927><U+093E><U+0930> <U+0939><U+094B> <U+091C><U+093E><U+0910> <U+0001F449> <U+0928><U+093F><U+0924><,Neutral
"\Fast-paced thriller that solidifies Carr's standing as a major force in American fiction.\"" #Mystery &amp; #suspense wi… https://t.co/um1L4UJBlZ""",negative
@amazon @AmazonKindle @sudouest @mazarineedition,Neutral
"Cigarette Rolling Machine, Cigarette Roller, Cigarette Tobacco Roller Cigaret... https://t.co/jOUbkk1yi5 <U+05D3><U+05E8><U+05DA> @amazon",Neutral
RT @Cost2Build_UK: We're giving away a £20 @amazon gift card. All you have to do to enter is follow us &amp; RT this post. We’ll announce the w…,Neutral
.@amazon names head of international originals. #TopStoriesOfTheWeek https://t.co/cYmGccvKjf https://t.co/G4aSV0LX0K,Neutral
RT @sandrayearman: Brother Kings ...The Warrior Series...Vol 1... by Sandra J Yearman https://t.co/JZWIp01HQW … via @amazon #series #fantas…,Neutral
Ho appena comprato: 'Heroclip - Clip Multifunzione Moschettone 3-in-1 con Gancio Girevole Rotante... tramite @amazon https://t.co/NhKpqtibpw,Neutral
RT @TheTipToeFairy: Get creative with #AmazonPrime #Boxtumes! Need a last minute Halloween costume for your child? Come see how you can mak…,positive
RT @healthycottage: Great gift set. Custom. Itzy Ritzy Nursing Happens Infinity Breastfeeding Scarf Cheetah Girl and Teet... https://t.co/Q…,positive
RT @Cost2Build_UK: We're giving away a £20 @amazon gift card. All you have to do to enter is follow us &amp; RT this post. We’ll announce the w…,Neutral
@amazon hello i have not being able to access my account for days now please help me,Neutral
@AmazonHelp @amazonIN @amazon @AmazonINoffers FALSE CASH BACK Promise. No Full cash back received for… https://t.co/YxuRj97X09,positive
"@MarieHavard_ @amazon @AmazonKindle @VendrediLecture @sudouest De rien, c'était nécessaire pour moi aussi d'en parl… https://t.co/wyqQqH4SS1",Neutral
RT @OliverMcGee: @DonaldJTrumpJr @CNN @MSNBC @CBS @ABC @TPUSA @RealCandaceO .@Amazon 2012! “Jumping The Aisle: How I Became a Black Republi…,Neutral
"RT @gabrielzamora: my \i spend too much money on @amazon that its starting to become a problem but everything i buy im obsessed with and us…""",negative
https://t.co/IsS8FFWJz9: Best Sellers - Book Store. https://t.co/gaLk78XYvM via @amazon,positive
Liebres de Sonora de Rafael R. Costa https://t.co/X26XyGo4aL vía @amazon,Neutral
"RT @KZ_Howell: Messages passed down through the centuries in legend and stone.
Technology left behind by ancient visitors. 
The line betwee…",Neutral
Great when @amazon say they delivered your package to an amazon locker but don't send you the code. Then make you w… https://t.co/hKK4KmL701,positive
El cráneo de Balboa de Rafael R. Costa https://t.co/Ak2M8GXTmC vía @amazon,Neutral
RT @ashishmmittal1: @amazonIN @amazon @AmazonINoffers FALSE CASH BACK Promise. No Full cash back received for https://t.co/HNRz432pbn  Orde…,positive
La novelista fingida de Rafael R. Costa https://t.co/dDOJf2opW9 vía @amazon,Neutral
RT @udochiokeke1: Programming @amazon Alexa to pronounce Igbo names using the International Phonetic Alphabet (IPA). I think she is getting…,Neutral
@AmazonHelp Still showing director incorrect in @Amazon app. The director is Rob Zombie.,negative
RT @EdenTrainingUK: We are so happy with our new website we are running a #competition! For a chance to win a £50 @amazon voucher / @Love2s…,positive
"17th Oct to 27th October @amazonIN @amazon @AmazonHelp @JeffBezos 
B https://t.co/gFQsmvwErm",Neutral
El caracol de Byron de Rafael R. Costa https://t.co/vrm11dQxSn vía @amazon,Neutral
Neu auf Platz 2 der gratis Kurzgeschichten und weitere 6 Geschichten unter den Top100 ( #gratisebook #Thriller ): U… https://t.co/gpsiuHxPv2,positive
RT @Larry_B_Gray: #Paperback lovers. A BOY FROM DOWN EAST  by Larry B. Gray https://t.co/Nj3sLcu18L via @amazon #authors #booksales https:/…,Neutral
@DreamBo37063720 @GraceAndGlow1 <U+092D><U+0917><U+0935><U+093E><U+0928> <U+0938><U+092C><U+0915><U+0941><U+091B> <U+0926><U+0947><U+0924><U+093E> <U+0939><U+0948> <U+0914><U+0930> <U+0909><U+0938><U+0915><U+0940> <U+092D><U+0915><U+094D><U+0924><U+093F> ,Neutral
RT @TamaraMcCleary: All the ways @Amazon's #AI brought me the socks I am wearing right now https://t.co/YofnId9sia via @CNN #automation #ro…,positive
"RT @MobiHealthNews: .@amazon launches connected medical device brand focused on diabetes, cardiovascular disease https://t.co/kmNkQrQnSN",Neutral
